,postalCode,typeProperty,subtypeProperty,price,typeSale,subtypeSale,BedroomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
46,1420,HOUSE,VILLA,1125000.0,FOR_SALE,BUY_REGULAR,5.0,461.0,0.0,HYPER_EQUIPPED,0,0,1,45.0,1,2974.0,3240,4.0,0,GOOD
47,5300,HOUSE,VILLA,270000.0,FOR_SALE,BUY_REGULAR,3.0,147.0,0.0,USA_SEMI_EQUIPPED,0,0,1,10.0,1,700.0,852,4.0,0,TO_BE_DONE_UP
48,4570,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,5.0,250.0,0.0,SEMI_EQUIPPED,0,1,1,300.0,1,750.0,1700,4.0,0,GOOD
49,1082,HOUSE,MANSION,360000.0,FOR_SALE,BUY_REGULAR,4.0,147.0,0.0,NOT_INSTALLED,0,0,1,10.0,1,70.0,150,2.0,0,TO_RENOVATE
50,1000,HOUSE,HOUSE,787500.0,FOR_SALE,BUY_REGULAR,4.0,409.0,,,0,1,0,,0,,573,3.0,0,TO_RENOVATE
51,1150,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,3.0,222.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,0,,555,4.0,0,TO_RENOVATE
52,9600,HOUSE,MANSION,128000.0,FOR_SALE,BUY_REGULAR,4.0,152.0,0.0,SEMI_EQUIPPED,0,0,0,,0,,80,2.0,0,TO_RENOVATE
53,1702,HOUSE,HOUSE,459000.0,FOR_SALE,BUY_REGULAR,5.0,204.0,0.0,INSTALLED,0,0,1,,0,,592,3.0,0,GOOD
54,2800,HOUSE,HOUSE,875000.0,FOR_SALE,BUY_REGULAR,2.0,259.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,0,,98,2.0,0,AS_NEW
55,1880,HOUSE,APARTMENT_BLOCK,995000.0,FOR_SALE,BUY_REGULAR,6.0,472.0,0.0,SEMI_EQUIPPED,0,1,1,72.0,0,,427,3.0,0,GOOD
56,4520,HOUSE,HOUSE,380000.0,FOR_SALE,BUY_REGULAR,6.0,255.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,1,200.0,365,3.0,0,AS_NEW
57,6760,HOUSE,HOUSE,325000.0,FOR_SALE,BUY_REGULAR,3.0,141.0,0.0,INSTALLED,0,0,1,,0,,226,2.0,0,AS_NEW
58,1742,HOUSE,MIXED_USE_BUILDING,970000.0,FOR_SALE,BUY_REGULAR,4.0,437.0,0.0,USA_INSTALLED,0,0,1,100.0,1,1560.0,1900,4.0,0,AS_NEW
59,6870,HOUSE,MIXED_USE_BUILDING,89000.0,FOR_SALE,BUY_REGULAR,3.0,180.0,0.0,NOT_INSTALLED,0,0,0,,0,,96,2.0,0,TO_RENOVATE
60,1020,HOUSE,HOUSE,539000.0,FOR_SALE,BUY_REGULAR,6.0,390.0,0.0,INSTALLED,1,0,1,30.0,1,346.0,386,2.0,0,TO_RENOVATE
61,1150,HOUSE,HOUSE,1260000.0,FOR_SALE,BUY_REGULAR,5.0,220.0,0.0,NOT_INSTALLED,0,0,1,22.0,1,200.0,325,3.0,0,AS_NEW
62,4500,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,2.0,100.0,0.0,SEMI_EQUIPPED,0,0,0,,1,,489,4.0,0,AS_NEW
63,4500,HOUSE,BUNGALOW,195000.0,FOR_SALE,BUY_REGULAR,2.0,100.0,0.0,SEMI_EQUIPPED,0,0,0,,1,,489,4.0,0,AS_NEW
64,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,INSTALLED,0,0,1,,0,,311,3.0,0,GOOD
65,1700,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,5.0,190.0,0.0,USA_SEMI_EQUIPPED,0,0,1,,0,,169,2.0,0,TO_BE_DONE_UP
66,1160,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,3.0,104.0,0.0,NOT_INSTALLED,0,0,0,,0,,55,2.0,0,TO_RENOVATE
67,1540,HOUSE,HOUSE,449000.0,FOR_SALE,BUY_REGULAR,4.0,461.0,0.0,SEMI_EQUIPPED,0,0,1,,0,,861,3.0,0,GOOD
68,1541,HOUSE,HOUSE,449000.0,FOR_SALE,BUY_REGULAR,4.0,461.0,0.0,SEMI_EQUIPPED,0,0,1,,0,,861,3.0,0,GOOD
69,1380,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,3.0,260.0,0.0,INSTALLED,0,0,1,15.0,1,1500.0,1966,4.0,0,GOOD
70,1030,HOUSE,HOUSE,490000.0,FOR_SALE,BUY_REGULAR,4.0,150.0,0.0,HYPER_EQUIPPED,0,0,0,,0,,65,2.0,0,AS_NEW
